lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.742836108333332,-43.41621346666667,Belford Roxo,5.0,12.0,5.0
-22.7376373375,-43.382079275,Belford Roxo,3.0,8.0,3.0
-22.73188018,-43.34512454,Belford Roxo,1.0,5.0,1.0
-22.754333613043478,-43.40540413913043,Belford Roxo,13.0,23.0,2.0
-22.725850566666665,-43.42179023333333,Belford Roxo,2.0,7.0,0.0
-22.721211725,-43.3805185,Belford Roxo,1.0,9.0,2.0
-22.71571734,-43.3331848,Belford Roxo,2.0,6.0,0.0
-22.770503016666666,-43.39838371666667,Belford Roxo,3.0,8.0,0.0
-22.755699333333332,-43.37377275,Belford Roxo,2.0,6.0,2.0
-22.709695775,-43.409594049999995,Belford Roxo,2.0,4.0,1.0
-22.7319108375,-43.4027627125,Belford Roxo,4.0,7.0,3.0
-22.727407499999998,-43.363093066666664,Belford Roxo,0.0,3.0,1.0
