lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.679239754545453,-43.45002601363636,Nova Iguacu,11.0,21.0,5.0
-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0
-22.755752184615385,-43.47478559615384,Nova Iguacu,15.0,20.0,8.0
-22.831978366666668,-43.6086608,Nova Iguacu,6.0,6.0,0.0
-22.72263721875,-43.447110646875,Nova Iguacu,19.0,31.0,6.0
-22.64466367142857,-43.410514557142854,Nova Iguacu,3.0,9.0,1.0
-22.763160415789475,-43.51814358947368,Nova Iguacu,13.0,18.0,0.0
-22.762221295833335,-43.43064357916667,Nova Iguacu,9.0,26.0,7.0
-22.7343512,-43.47148468974359,Nova Iguacu,23.0,39.0,7.0
-22.6665478,-43.5821442,Nova Iguacu,1.0,2.0,1.0
-22.71535174090909,-43.46522046363636,Nova Iguacu,16.0,22.0,2.0
-22.743877589473684,-43.49807105263158,Nova Iguacu,11.0,18.0,0.0
-22.703053536363637,-43.42812555454545,Nova Iguacu,16.0,22.0,4.0
-22.75292354375,-43.455405209375,Nova Iguacu,13.0,28.0,10.0
-22.8713243,-43.4870367,Nova Iguacu,0.0,2.0,0.0
-22.7844227,-43.55463733333333,Nova Iguacu,3.0,7.0,5.0
-22.718830866666668,-43.52443399333333,Nova Iguacu,13.0,9.0,3.0
-22.740624121052633,-43.44061751842105,Nova Iguacu,14.0,40.0,4.0
-22.6108778,-43.40882058571429,Nova Iguacu,3.0,10.0,0.0
-22.69278772631579,-43.46624027894737,Nova Iguacu,23.0,43.0,4.0
