lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.811169804761906,-43.3697963952381,Rio De Janeiro,10.0,24.0,0.0
-22.808636845454547,-43.19591230909091,Rio De Janeiro,5.0,10.0,1.0
-22.903690744444443,-43.5537644,Rio De Janeiro,5.0,9.0,1.0
-22.899705142857144,-43.276882071428574,Rio De Janeiro,13.0,14.0,4.0
-22.8508069,-43.31240028965517,Rio De Janeiro,13.0,31.0,2.0
-23.017254299999998,-43.4578198,Rio De Janeiro,0.0,3.0,0.0
-22.911611783333335,-43.369075091666666,Rio De Janeiro,3.0,12.0,0.0
-22.740486044444445,-43.447734266666664,Rio De Janeiro,2.0,7.0,3.0
-22.874947414285714,-43.46669680714286,Rio De Janeiro,8.0,13.0,2.0
-22.980224133333333,-43.59360496666667,Rio De Janeiro,1.0,4.0,1.0
-22.968462225,-43.195297125,Rio De Janeiro,1.0,3.0,0.0
-22.8591685,-43.359369308333335,Rio De Janeiro,11.0,19.0,2.0
-22.814605336842106,-43.32428321052632,Rio De Janeiro,13.0,11.0,3.0
-22.916286333333332,-43.201886944444446,Rio De Janeiro,5.0,7.0,3.0
-22.902086333333333,-43.628723050000005,Rio De Janeiro,4.0,6.0,0.0
-22.97148704,-43.3930106,Rio De Janeiro,1.0,3.0,0.0
-22.837332971428573,-43.274822928571425,Rio De Janeiro,5.0,15.0,1.0
-22.88216441818182,-43.41568310909091,Rio De Janeiro,4.0,11.0,1.0
-22.83136033157895,-43.407924957894735,Rio De Janeiro,7.0,17.0,7.0
