lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.775774636363636,-43.37687738181818,Sao Joao De Meriti,5.0,10.0,1.0
-22.77229045714286,-43.35583256428571,Sao Joao De Meriti,3.0,18.0,0.0
-22.782394840000002,-43.34226302,Sao Joao De Meriti,3.0,5.0,1.0
-22.792063214285715,-43.40132084285714,Sao Joao De Meriti,5.0,5.0,0.0
-22.806188300000002,-43.370034399999994,Sao Joao De Meriti,1.0,2.0,1.0
-22.79321519090909,-43.377582136363635,Sao Joao De Meriti,6.0,11.0,0.0
-22.784524185714286,-43.39275117857143,Sao Joao De Meriti,10.0,11.0,1.0
-22.796923425,-43.33704795,Sao Joao De Meriti,2.0,4.0,0.0
-22.78635178888889,-43.3613796,Sao Joao De Meriti,5.0,9.0,1.0
-22.80517031666667,-43.3885826,Sao Joao De Meriti,1.0,7.0,0.0
