,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
0,-22.601894180000002,-43.41432008,Nova Iguacu,0.0,5.0,0.0,seg
1,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,seg
2,-22.73271761967213,-43.4475087,Nova Iguacu,13.0,42.0,4.0,seg
3,-22.763022176923077,-43.51851187692308,Nova Iguacu,8.0,17.0,1.0,seg
4,-22.691778278571427,-43.46698731190476,Nova Iguacu,18.0,23.0,1.0,seg
5,-22.7820986,-43.554629219999995,Nova Iguacu,4.0,4.0,2.0,seg
6,-22.745290621428573,-43.49512059285714,Nova Iguacu,8.0,19.0,1.0,seg
7,-22.705550942857144,-43.43121224285714,Nova Iguacu,15.0,12.0,0.0,seg
8,-22.754187171698113,-43.46602107735849,Nova Iguacu,15.0,28.0,8.0,seg
9,-22.749970489655173,-43.42903319655172,Nova Iguacu,8.0,19.0,1.0,seg
10,-22.719191576190475,-43.52291241428571,Nova Iguacu,8.0,13.0,0.0,seg
11,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,seg
12,-22.734453936363636,-43.47263668409091,Nova Iguacu,10.0,28.0,5.0,seg
13,-22.638728733333334,-43.40776205,Nova Iguacu,5.0,6.0,1.0,seg
14,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,seg
15,-22.67869635652174,-43.44707259565217,Nova Iguacu,9.0,12.0,2.0,seg
16,-22.759308205882352,-43.44235019117647,Nova Iguacu,4.0,23.0,5.0,seg
17,-22.834939357142858,-43.60687934285714,Nova Iguacu,5.0,2.0,0.0,seg
18,-22.71318358,-43.461620333333336,Nova Iguacu,9.0,19.0,2.0,seg
19,-22.601894180000002,-43.41432008,Nova Iguacu,1.0,4.0,0.0,ter
20,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,ter
21,-22.73271761967213,-43.4475087,Nova Iguacu,19.0,30.0,5.0,ter
