,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
0,-22.8112425,-43.31492459166667,Rio De Janeiro,1.0,8.0,2.0,seg
1,-22.874055576923077,-43.43654836153846,Rio De Janeiro,0.0,11.0,2.0,seg
2,-22.869514886666668,-43.347971193333336,Rio De Janeiro,1.0,12.0,1.0,seg
3,-22.96222134,-43.19142196,Rio De Janeiro,2.0,2.0,1.0,seg
4,-22.915068650000002,-43.6742457,Rio De Janeiro,0.0,2.0,0.0,seg
5,-23.003084774999998,-43.442239025000006,Rio De Janeiro,0.0,4.0,0.0,seg
6,-22.80712670909091,-43.196141036363635,Rio De Janeiro,1.0,8.0,2.0,seg
7,-22.93980325,-43.57439431666667,Rio De Janeiro,0.0,4.0,2.0,seg
8,-22.82228007826087,-43.36323351739131,Rio De Janeiro,3.0,15.0,4.0,seg
9,-22.731125942857144,-43.450580357142854,Rio De Janeiro,1.0,5.0,1.0,seg
10,-22.919273822222223,-43.22604596666667,Rio De Janeiro,1.0,6.0,2.0,seg
11,-22.8959819,-43.28124230555556,Rio De Janeiro,0.0,12.0,4.0,seg
12,-22.81911906,-43.41234391,Rio De Janeiro,0.0,9.0,1.0,seg
13,-22.889989793333335,-43.38151198,Rio De Janeiro,0.0,13.0,2.0,seg
14,-22.9673139,-43.36718671,Rio De Janeiro,1.0,8.0,1.0,seg
15,-22.839247344444445,-43.2696087,Rio De Janeiro,0.0,8.0,1.0,seg
16,-22.880998425,-43.55624465,Rio De Janeiro,0.0,4.0,0.0,seg
17,-22.8787635,-43.4841783375,Rio De Janeiro,0.0,7.0,1.0,seg
18,-22.846706791666666,-43.3091294375,Rio De Janeiro,1.0,19.0,3.0,seg
19,-22.8112425,-43.31492459166667,Rio De Janeiro,3.0,6.0,2.0,qua
20,-22.874055576923077,-43.43654836153846,Rio De Janeiro,3.0,8.0,2.0,qua
21,-22.869514886666668,-43.347971193333336,Rio De Janeiro,1.0,12.0,1.0,qua
22,-22.96222134,-43.19142196,Rio De Janeiro,1.0,2.0,1.0,qua
23,-22.915068650000002,-43.6742457,Rio De Janeiro,0.0,2.0,0.0,qua
24,-23.003084774999998,-43.442239025000006,Rio De Janeiro,3.0,1.0,0.0,qua
