,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
0,-22.754071688235296,-43.431553011764706,Nova Iguacu,6.0,11.0,0.0,seg
1,-22.74454869090909,-43.49947811818182,Nova Iguacu,7.0,4.0,0.0,seg
2,-22.7221357,-43.454394734615384,Nova Iguacu,15.0,11.0,0.0,seg
3,-22.6486446,-43.41173738571428,Nova Iguacu,3.0,4.0,0.0,seg
4,-22.831978366666668,-43.6086608,Nova Iguacu,5.0,1.0,0.0,seg
5,-22.679110376923077,-43.44943182307692,Nova Iguacu,6.0,7.0,0.0,seg
6,-22.754419530434784,-43.467452665217394,Nova Iguacu,9.0,14.0,0.0,seg
7,-22.71966339,-43.52383578,Nova Iguacu,8.0,2.0,0.0,seg
8,-22.78677975,-43.5606832,Nova Iguacu,3.0,3.0,0.0,seg
9,-22.703912310526317,-43.43083341578947,Nova Iguacu,14.0,5.0,0.0,seg
10,-22.732620225,-43.471843666666665,Nova Iguacu,9.0,15.0,0.0,seg
11,-22.8143799,-43.4235215,Nova Iguacu,0.0,1.0,0.0,seg
12,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,seg
13,-22.613111033333333,-43.407703983333334,Nova Iguacu,2.0,4.0,0.0,seg
14,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,seg
15,-22.762742763636364,-43.51935899090909,Nova Iguacu,7.0,4.0,0.0,seg
16,-22.691356499999998,-43.46617819090909,Nova Iguacu,13.0,9.0,0.0,seg
17,-22.73890436111111,-43.441079627777775,Nova Iguacu,7.0,11.0,0.0,seg
18,-22.754071688235296,-43.431553011764706,Nova Iguacu,6.0,11.0,0.0,ter
19,-22.74454869090909,-43.49947811818182,Nova Iguacu,7.0,4.0,0.0,ter
20,-22.7221357,-43.454394734615384,Nova Iguacu,15.0,11.0,0.0,ter
21,-22.6486446,-43.41173738571428,Nova Iguacu,3.0,4.0,0.0,ter
22,-22.831978366666668,-43.6086608,Nova Iguacu,5.0,1.0,0.0,ter
23,-22.679110376923077,-43.44943182307692,Nova Iguacu,6.0,7.0,0.0,ter
24,-22.754419530434784,-43.467452665217394,Nova Iguacu,9.0,14.0,0.0,ter
25,-22.71966339,-43.52383578,Nova Iguacu,8.0,2.0,0.0,ter
26,-22.78677975,-43.5606832,Nova Iguacu,3.0,3.0,0.0,ter
27,-22.703912310526317,-43.43083341578947,Nova Iguacu,14.0,5.0,0.0,ter
28,-22.732620225,-43.471843666666665,Nova Iguacu,9.0,15.0,0.0,ter
29,-22.8143799,-43.4235215,Nova Iguacu,0.0,1.0,0.0,ter
30,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,ter
31,-22.613111033333333,-43.407703983333334,Nova Iguacu,2.0,4.0,0.0,ter
32,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,ter
33,-22.762742763636364,-43.51935899090909,Nova Iguacu,7.0,4.0,0.0,ter
34,-22.691356499999998,-43.46617819090909,Nova Iguacu,13.0,9.0,0.0,ter
35,-22.73890436111111,-43.441079627777775,Nova Iguacu,7.0,11.0,0.0,ter
36,-22.754071688235296,-43.431553011764706,Nova Iguacu,6.0,11.0,0.0,qua
37,-22.74454869090909,-43.49947811818182,Nova Iguacu,7.0,4.0,0.0,qua
38,-22.7221357,-43.454394734615384,Nova Iguacu,15.0,11.0,0.0,qua
39,-22.6486446,-43.41173738571428,Nova Iguacu,3.0,4.0,0.0,qua
40,-22.831978366666668,-43.6086608,Nova Iguacu,5.0,1.0,0.0,qua
41,-22.679110376923077,-43.44943182307692,Nova Iguacu,6.0,7.0,0.0,qua
42,-22.754419530434784,-43.467452665217394,Nova Iguacu,9.0,14.0,0.0,qua
43,-22.71966339,-43.52383578,Nova Iguacu,8.0,2.0,0.0,qua
44,-22.78677975,-43.5606832,Nova Iguacu,3.0,3.0,0.0,qua
45,-22.703912310526317,-43.43083341578947,Nova Iguacu,14.0,5.0,0.0,qua
46,-22.732620225,-43.471843666666665,Nova Iguacu,9.0,15.0,0.0,qua
47,-22.8143799,-43.4235215,Nova Iguacu,0.0,1.0,0.0,qua
48,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,qua
49,-22.613111033333333,-43.407703983333334,Nova Iguacu,2.0,4.0,0.0,qua
50,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,qua
51,-22.762742763636364,-43.51935899090909,Nova Iguacu,7.0,4.0,0.0,qua
52,-22.691356499999998,-43.46617819090909,Nova Iguacu,13.0,9.0,0.0,qua
53,-22.73890436111111,-43.441079627777775,Nova Iguacu,7.0,11.0,0.0,qua
54,-22.754071688235296,-43.431553011764706,Nova Iguacu,6.0,11.0,0.0,qui
55,-22.74454869090909,-43.49947811818182,Nova Iguacu,7.0,4.0,0.0,qui
56,-22.7221357,-43.454394734615384,Nova Iguacu,15.0,11.0,0.0,qui
57,-22.6486446,-43.41173738571428,Nova Iguacu,3.0,4.0,0.0,qui
58,-22.831978366666668,-43.6086608,Nova Iguacu,5.0,1.0,0.0,qui
59,-22.679110376923077,-43.44943182307692,Nova Iguacu,6.0,7.0,0.0,qui
60,-22.754419530434784,-43.467452665217394,Nova Iguacu,9.0,14.0,0.0,qui
61,-22.71966339,-43.52383578,Nova Iguacu,8.0,2.0,0.0,qui
62,-22.78677975,-43.5606832,Nova Iguacu,3.0,3.0,0.0,qui
63,-22.703912310526317,-43.43083341578947,Nova Iguacu,14.0,5.0,0.0,qui
64,-22.732620225,-43.471843666666665,Nova Iguacu,9.0,15.0,0.0,qui
