CURSO,PERÍODO_ATUAL,DIA,TURNO_ENTRADA
ENGENHARIA MECÂNICA,1,seg,tarde
ENGENHARIA MECÂNICA,1,ter,manhã
ENGENHARIA MECÂNICA,1,qua,tarde
ENGENHARIA MECÂNICA,1,qui,manhã
ENGENHARIA MECÂNICA,1,sex,tarde
ENGENHARIA MECÂNICA,2,seg,tarde
ENGENHARIA MECÂNICA,2,ter,manhã
ENGENHARIA MECÂNICA,2,qua,manhã
ENGENHARIA MECÂNICA,2,qui,tarde
ENGENHARIA MECÂNICA,2,sex,tarde
ENGENHARIA MECÂNICA,2,sab,tarde
ENGENHARIA MECÂNICA,3,seg,manhã
ENGENHARIA MECÂNICA,3,ter,tarde
ENGENHARIA MECÂNICA,3,qua,tarde
ENGENHARIA MECÂNICA,3,qui,tarde
ENGENHARIA MECÂNICA,3,sex,tarde
ENGENHARIA MECÂNICA,4,seg,tarde
ENGENHARIA MECÂNICA,4,ter,tarde
ENGENHARIA MECÂNICA,4,qua,tarde
ENGENHARIA MECÂNICA,4,qui,tarde
ENGENHARIA MECÂNICA,4,sex,tarde
ENGENHARIA MECÂNICA,5,seg,tarde
ENGENHARIA MECÂNICA,5,ter,tarde
ENGENHARIA MECÂNICA,5,qua,tarde
ENGENHARIA MECÂNICA,5,qui,tarde
ENGENHARIA MECÂNICA,6,seg,tarde
ENGENHARIA MECÂNICA,6,ter,tarde
ENGENHARIA MECÂNICA,6,qua,tarde
ENGENHARIA MECÂNICA,6,qui,tarde
ENGENHARIA MECÂNICA,6,sex,tarde
ENGENHARIA MECÂNICA,7,seg,tarde
ENGENHARIA MECÂNICA,7,ter,tarde
ENGENHARIA MECÂNICA,7,qua,tarde
ENGENHARIA MECÂNICA,7,qui,tarde
ENGENHARIA MECÂNICA,7,sex,tarde
ENGENHARIA MECÂNICA,8,seg,tarde
ENGENHARIA MECÂNICA,8,ter,tarde
ENGENHARIA MECÂNICA,8,qua,tarde
ENGENHARIA MECÂNICA,8,qui,tarde
ENGENHARIA MECÂNICA,8,sex,tarde
ENGENHARIA MECÂNICA,8,sab,manhã
ENGENHARIA MECÂNICA,9,seg,manhã
ENGENHARIA MECÂNICA,9,sab,manhã
ENGENHARIA MECÂNICA,10,sab,manhã
