CURSO,PERÍODO_ATUAL,DIA,TURNO
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1,qui,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1,sex,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2,seg,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2,qua,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2,sex,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3,sex,noite
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,sex,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6,ter,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7,ter,noite
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7,qui,noite
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7,sex,noite
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8,qua,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8,qui,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8,sab,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9,seg,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9,qua,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10,seg,tarde
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10,qua,manhã
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10,sex,tarde
