CURSO,PERÍODO_ATUAL,DIA,TURNO
ENGENHARIA DE PRODUÇÃO,1,seg,tarde
ENGENHARIA DE PRODUÇÃO,1,ter,tarde
ENGENHARIA DE PRODUÇÃO,1,qua,tarde
ENGENHARIA DE PRODUÇÃO,1,qui,tarde
ENGENHARIA DE PRODUÇÃO,1,sex,tarde
ENGENHARIA DE PRODUÇÃO,2,seg,tarde
ENGENHARIA DE PRODUÇÃO,2,ter,tarde
ENGENHARIA DE PRODUÇÃO,2,qua,tarde
ENGENHARIA DE PRODUÇÃO,2,qui,tarde
ENGENHARIA DE PRODUÇÃO,2,sex,tarde
ENGENHARIA DE PRODUÇÃO,3,seg,tarde
ENGENHARIA DE PRODUÇÃO,3,ter,tarde
ENGENHARIA DE PRODUÇÃO,3,qua,tarde
ENGENHARIA DE PRODUÇÃO,3,qui,tarde
ENGENHARIA DE PRODUÇÃO,3,sex,tarde
ENGENHARIA DE PRODUÇÃO,4,seg,tarde
ENGENHARIA DE PRODUÇÃO,4,ter,tarde
ENGENHARIA DE PRODUÇÃO,4,qua,tarde
ENGENHARIA DE PRODUÇÃO,4,qui,tarde
ENGENHARIA DE PRODUÇÃO,5,seg,tarde
ENGENHARIA DE PRODUÇÃO,5,ter,tarde
ENGENHARIA DE PRODUÇÃO,5,qua,tarde
ENGENHARIA DE PRODUÇÃO,5,qui,tarde
ENGENHARIA DE PRODUÇÃO,6,seg,noite
ENGENHARIA DE PRODUÇÃO,6,ter,noite
ENGENHARIA DE PRODUÇÃO,6,qua,noite
ENGENHARIA DE PRODUÇÃO,6,qui,noite
ENGENHARIA DE PRODUÇÃO,6,sex,noite
ENGENHARIA DE PRODUÇÃO,7,seg,noite
ENGENHARIA DE PRODUÇÃO,7,ter,noite
ENGENHARIA DE PRODUÇÃO,7,qua,noite
ENGENHARIA DE PRODUÇÃO,7,qui,noite
ENGENHARIA DE PRODUÇÃO,7,sex,noite
ENGENHARIA DE PRODUÇÃO,8,seg,noite
ENGENHARIA DE PRODUÇÃO,8,ter,noite
ENGENHARIA DE PRODUÇÃO,8,qua,noite
ENGENHARIA DE PRODUÇÃO,8,qui,noite
ENGENHARIA DE PRODUÇÃO,8,sex,noite
ENGENHARIA DE PRODUÇÃO,9,seg,noite
ENGENHARIA DE PRODUÇÃO,9,qua,noite
ENGENHARIA DE PRODUÇÃO,9,qui,tarde
ENGENHARIA DE PRODUÇÃO,10,seg,noite
ENGENHARIA DE PRODUÇÃO,10,ter,noite
ENGENHARIA DE PRODUÇÃO,10,qua,noite
ENGENHARIA DE PRODUÇÃO,10,qui,noite
ENGENHARIA DE PRODUÇÃO,10,sex,noite
