CURSO,PERÍODO_ATUAL,DIA,TURNO_ENTRADA
AUTOMAÇÃO INDUSTRIAL,1,seg,manhã
AUTOMAÇÃO INDUSTRIAL,1,ter,manhã
AUTOMAÇÃO INDUSTRIAL,1,qua,manhã
AUTOMAÇÃO INDUSTRIAL,1,qui,manhã
AUTOMAÇÃO INDUSTRIAL,1,sex,manhã
AUTOMAÇÃO INDUSTRIAL,2,seg,tarde
AUTOMAÇÃO INDUSTRIAL,2,ter,tarde
AUTOMAÇÃO INDUSTRIAL,2,qua,tarde
AUTOMAÇÃO INDUSTRIAL,2,qui,tarde
AUTOMAÇÃO INDUSTRIAL,2,sex,tarde
AUTOMAÇÃO INDUSTRIAL,3,seg,manhã
AUTOMAÇÃO INDUSTRIAL,3,ter,manhã
AUTOMAÇÃO INDUSTRIAL,3,qua,manhã
AUTOMAÇÃO INDUSTRIAL,3,qui,manhã
AUTOMAÇÃO INDUSTRIAL,3,sex,manhã
INFORMÁTICA,1,seg,manhã
INFORMÁTICA,1,ter,manhã
INFORMÁTICA,1,qua,manhã
INFORMÁTICA,1,qui,manhã
INFORMÁTICA,1,sex,manhã
INFORMÁTICA,2,seg,tarde
INFORMÁTICA,2,ter,tarde
INFORMÁTICA,2,qua,tarde
INFORMÁTICA,2,qui,tarde
INFORMÁTICA,2,sex,tarde
INFORMÁTICA,3,seg,manhã
INFORMÁTICA,3,ter,manhã
INFORMÁTICA,3,qua,manhã
INFORMÁTICA,3,qui,manhã
INFORMÁTICA,3,sex,manhã
ENFERMAGEM,1,seg,tarde
ENFERMAGEM,1,ter,tarde
ENFERMAGEM,1,qua,tarde
ENFERMAGEM,1,qui,tarde
ENFERMAGEM,1,sex,tarde
ENFERMAGEM,2,seg,manhã
ENFERMAGEM,2,ter,manhã
ENFERMAGEM,2,qua,manhã
ENFERMAGEM,2,qui,manhã
ENFERMAGEM,2,sex,manhã
ENFERMAGEM,3,seg,tarde
ENFERMAGEM,3,ter,tarde
ENFERMAGEM,3,qua,tarde
ENFERMAGEM,3,qui,tarde
ENFERMAGEM,3,sex,tarde
TELECOMUNICAÇÕES,1,seg,tarde
TELECOMUNICAÇÕES,1,ter,tarde
TELECOMUNICAÇÕES,1,qua,tarde
TELECOMUNICAÇÕES,1,qui,tarde
TELECOMUNICAÇÕES,1,sex,tarde
TELECOMUNICAÇÕES,2,seg,manhã
TELECOMUNICAÇÕES,2,ter,manhã
TELECOMUNICAÇÕES,2,qua,manhã
TELECOMUNICAÇÕES,2,qui,manhã
TELECOMUNICAÇÕES,2,sex,manhã
TELECOMUNICAÇÕES,3,seg,tarde
TELECOMUNICAÇÕES,3,ter,tarde
TELECOMUNICAÇÕES,3,qua,tarde
TELECOMUNICAÇÕES,3,qui,tarde
TELECOMUNICAÇÕES,3,sex,tarde
